true,predicted,confidence
Happy,Anger,0.6649727821350098
Happy,Disgust,0.661907970905304
Anger,Neutral,0.6617879271507263
Disgust,Neutral,0.6599481105804443
Sad,Neutral,0.6583203077316284
Neutral,Sad,0.658250629901886
Neutral,Surprise,0.6579788327217102
Neutral,Sad,0.657087504863739
Sad,Neutral,0.6564789414405823
Fear,Surprise,0.6558318138122559
Disgust,Sad,0.6557591557502747
Disgust,Neutral,0.6543402075767517
Happy,Disgust,0.6539649963378906
Sad,Neutral,0.651177704334259
Neutral,Disgust,0.6491891741752625
Neutral,Surprise,0.6491172313690186
Sad,Disgust,0.647081732749939
Neutral,Sad,0.645240068435669
Surprise,Fear,0.6446347832679749
Neutral,Surprise,0.6422898173332214
Surprise,Neutral,0.6413507461547852
Happy,Disgust,0.6397194266319275
Neutral,Disgust,0.6393210291862488
Sad,Disgust,0.6353176832199097
Happy,Anger,0.6337488889694214
Anger,Disgust,0.6314373016357422
Sad,Surprise,0.6275299191474915
Sad,Neutral,0.6223205924034119
Happy,Neutral,0.6218454241752625
Anger,Fear,0.6192489266395569
Neutral,Sad,0.6167190670967102
Happy,Surprise,0.6155796051025391
Neutral,Anger,0.615493655204773
Disgust,Neutral,0.615282416343689
Fear,Surprise,0.6132019758224487
Happy,Neutral,0.6127955317497253
Neutral,Happy,0.6093304753303528
Happy,Neutral,0.6072937250137329
Anger,Sad,0.6072223782539368
Neutral,Sad,0.6056229472160339
Neutral,Surprise,0.6042096614837646
Happy,Sad,0.6032882332801819
Sad,Neutral,0.6020769476890564
Neutral,Surprise,0.5992835164070129
Disgust,Happy,0.59624844789505
Disgust,Sad,0.595214307308197
Sad,Neutral,0.5949515700340271
Neutral,Sad,0.5949497818946838
Neutral,Sad,0.5907481908798218
Disgust,Neutral,0.5906246900558472
Happy,Neutral,0.5878767371177673
Neutral,Sad,0.586691677570343
Anger,Fear,0.5849844813346863
Surprise,Fear,0.5842023491859436
Surprise,Fear,0.5824886560440063
Happy,Sad,0.5812289714813232
Happy,Neutral,0.5809949040412903
Fear,Sad,0.5807316899299622
Happy,Surprise,0.580155074596405
Neutral,Surprise,0.5799739956855774
Neutral,Surprise,0.5777530670166016
Neutral,Disgust,0.5752062797546387
Disgust,Surprise,0.5707826018333435
Fear,Neutral,0.5702012181282043
Disgust,Sad,0.5691807270050049
Sad,Disgust,0.5689864158630371
Anger,Neutral,0.5666441321372986
Fear,Surprise,0.5645677447319031
Surprise,Neutral,0.5635915994644165
Happy,Sad,0.560408890247345
Happy,Disgust,0.5592644214630127
Disgust,Fear,0.5588099360466003
Anger,Disgust,0.5585042834281921
Neutral,Sad,0.556218683719635
Neutral,Sad,0.5561434030532837
Anger,Disgust,0.5552598834037781
Disgust,Anger,0.5552472472190857
Disgust,Fear,0.5547215342521667
Disgust,Sad,0.5546743273735046
Neutral,Surprise,0.5543485879898071
Neutral,Sad,0.552443265914917
Neutral,Sad,0.5511377453804016
Surprise,Anger,0.5509709119796753
Sad,Neutral,0.5497639179229736
Surprise,Neutral,0.5456064343452454
Surprise,Anger,0.5454823970794678
Happy,Neutral,0.5401884913444519
Disgust,Surprise,0.5374389886856079
Disgust,Anger,0.5362863540649414
Neutral,Disgust,0.5342889428138733
Sad,Anger,0.5340062379837036
Happy,Neutral,0.5292530655860901
Neutral,Surprise,0.5282617211341858
Sad,Neutral,0.5272232890129089
Disgust,Sad,0.5269176363945007
Fear,Sad,0.526228129863739
Happy,Anger,0.5258475542068481
Neutral,Sad,0.525830864906311
Surprise,Neutral,0.525323212146759
Happy,Fear,0.5209254026412964
Anger,Happy,0.5192537903785706
Disgust,Surprise,0.519056499004364
Anger,Surprise,0.518208384513855
Disgust,Anger,0.5178078413009644
Sad,Neutral,0.5171253085136414
Anger,Fear,0.5119146108627319
Fear,Anger,0.5116040110588074
Disgust,Sad,0.5110824108123779
Surprise,Anger,0.5102847218513489
Disgust,Sad,0.5098658204078674
Neutral,Sad,0.5084993243217468
Neutral,Sad,0.5073850750923157
Neutral,Sad,0.5071503520011902
Surprise,Neutral,0.5029717087745667
Sad,Disgust,0.5022029280662537
Happy,Neutral,0.5021728277206421
Happy,Neutral,0.499994695186615
Neutral,Disgust,0.49770230054855347
Anger,Neutral,0.494149386882782
Sad,Neutral,0.49384939670562744
Neutral,Sad,0.4934394657611847
Happy,Fear,0.4931212067604065
Sad,Disgust,0.493012398481369
Neutral,Sad,0.49163201451301575
Happy,Sad,0.4910874664783478
Disgust,Surprise,0.48989325761795044
Sad,Happy,0.48935815691947937
Fear,Surprise,0.4880930781364441
Happy,Disgust,0.48712611198425293
Neutral,Surprise,0.4865153133869171
Anger,Disgust,0.4856207072734833
Neutral,Anger,0.4842267632484436
Happy,Disgust,0.48311901092529297
Happy,Disgust,0.4826408624649048
Neutral,Sad,0.4825870394706726
Disgust,Anger,0.4821555018424988
Disgust,Anger,0.48146548867225647
Happy,Neutral,0.47954127192497253
Disgust,Sad,0.47893860936164856
Happy,Neutral,0.4783289432525635
Happy,Neutral,0.47818946838378906
Happy,Neutral,0.47812938690185547
Happy,Anger,0.47705262899398804
Sad,Disgust,0.4761134684085846
Disgust,Neutral,0.47474685311317444
Disgust,Sad,0.4740377366542816
Happy,Sad,0.47288045287132263
Neutral,Sad,0.4726603627204895
Neutral,Sad,0.4725415110588074
Happy,Sad,0.4721311330795288
Happy,Surprise,0.47025203704833984
Sad,Happy,0.46716296672821045
Happy,Disgust,0.46553632616996765
Sad,Neutral,0.4653003215789795
Sad,Disgust,0.4621814489364624
Surprise,Anger,0.46170392632484436
Happy,Sad,0.46103158593177795
Happy,Neutral,0.4608469307422638
Happy,Neutral,0.460621178150177
Happy,Fear,0.46025341749191284
Sad,Neutral,0.4590241312980652
Anger,Disgust,0.4585263729095459
Neutral,Disgust,0.45792120695114136
Sad,Neutral,0.4576977789402008
Happy,Sad,0.45723530650138855
Happy,Surprise,0.45693209767341614
Happy,Disgust,0.45531484484672546
Happy,Anger,0.45104679465293884
Happy,Neutral,0.4507352113723755
Disgust,Neutral,0.45031216740608215
Neutral,Surprise,0.4495592713356018
Anger,Neutral,0.44901207089424133
Happy,Sad,0.44896501302719116
Neutral,Surprise,0.44859638810157776
Surprise,Fear,0.44750821590423584
Disgust,Neutral,0.44645774364471436
Neutral,Surprise,0.44611915946006775
Disgust,Anger,0.44375938177108765
Sad,Surprise,0.4437134265899658
Sad,Neutral,0.4420984089374542
Happy,Neutral,0.4415803849697113
Happy,Anger,0.44017818570137024
Neutral,Disgust,0.4394698739051819
Sad,Neutral,0.4380851984024048
Neutral,Sad,0.4369600713253021
Disgust,Fear,0.4354592263698578
Fear,Surprise,0.4349026381969452
Neutral,Sad,0.43460813164711
Disgust,Sad,0.4337335526943207
Happy,Sad,0.4330098032951355
Happy,Fear,0.4324073791503906
Disgust,Sad,0.43228843808174133
Neutral,Disgust,0.43163198232650757
Happy,Disgust,0.43045008182525635
Anger,Happy,0.42926767468452454
Disgust,Anger,0.42879197001457214
Neutral,Surprise,0.42853015661239624
Neutral,Disgust,0.4282756745815277
Disgust,Fear,0.4279763102531433
Fear,Anger,0.4274544417858124
Neutral,Disgust,0.4274218678474426
Sad,Anger,0.427061527967453
Happy,Surprise,0.4265362322330475
Neutral,Disgust,0.4263336658477783
Surprise,Fear,0.4251524806022644
Neutral,Happy,0.4240626096725464
Neutral,Surprise,0.4236457645893097
Sad,Neutral,0.42269167304039
Fear,Surprise,0.42137014865875244
Happy,Neutral,0.4210505187511444
Disgust,Anger,0.4208064377307892
Anger,Neutral,0.42077216506004333
Surprise,Sad,0.4203547537326813
Neutral,Sad,0.4203176200389862
Happy,Sad,0.4190638065338135
Happy,Sad,0.41822123527526855
Disgust,Sad,0.4166000187397003
Disgust,Anger,0.4164619445800781
Neutral,Surprise,0.41584789752960205
Surprise,Neutral,0.41574233770370483
Disgust,Anger,0.415151447057724
Disgust,Neutral,0.41471633315086365
Happy,Sad,0.4145379364490509
Sad,Disgust,0.4143918454647064
Happy,Sad,0.41419294476509094
Happy,Disgust,0.41230952739715576
Neutral,Fear,0.4122602939605713
Disgust,Sad,0.4114587903022766
Anger,Sad,0.41025304794311523
Happy,Surprise,0.4100225865840912
Happy,Anger,0.4094580411911011
Happy,Surprise,0.4091615378856659
Neutral,Surprise,0.4085947871208191
Disgust,Happy,0.40847334265708923
Neutral,Sad,0.40794724225997925
Sad,Neutral,0.4075571298599243
Neutral,Sad,0.40751713514328003
Neutral,Sad,0.4055371582508087
Neutral,Happy,0.4050532877445221
Fear,Neutral,0.40284743905067444
Surprise,Neutral,0.40264955163002014
Sad,Fear,0.402448832988739
Happy,Neutral,0.4017604887485504
Fear,Surprise,0.40143200755119324
Happy,Disgust,0.39776769280433655
Sad,Neutral,0.3967551589012146
Happy,Neutral,0.39523109793663025
Neutral,Disgust,0.39349377155303955
Neutral,Sad,0.3920505940914154
Sad,Neutral,0.3909569978713989
Happy,Surprise,0.39006730914115906
Happy,Neutral,0.3884585201740265
Surprise,Disgust,0.38786426186561584
Disgust,Neutral,0.38704121112823486
Happy,Disgust,0.38471147418022156
Surprise,Anger,0.3841845393180847
Happy,Anger,0.3841806948184967
Sad,Surprise,0.3832944333553314
Happy,Sad,0.3830760717391968
Happy,Neutral,0.3816690444946289
Happy,Surprise,0.3812577426433563
Disgust,Fear,0.3793531656265259
Happy,Sad,0.3786693811416626
Happy,Surprise,0.3780829608440399
Neutral,Happy,0.3780333399772644
Happy,Neutral,0.373220294713974
Disgust,Sad,0.3717189133167267
Surprise,Sad,0.368116557598114
Happy,Disgust,0.36627230048179626
Happy,Neutral,0.3654705584049225
Neutral,Sad,0.3652273714542389
Happy,Surprise,0.36460208892822266
Sad,Neutral,0.3641175925731659
Sad,Fear,0.362812876701355
Happy,Surprise,0.36165061593055725
Happy,Neutral,0.3609512746334076
Happy,Neutral,0.36077025532722473
Happy,Anger,0.3599856495857239
Happy,Fear,0.35823145508766174
Sad,Disgust,0.35744738578796387
Sad,Neutral,0.35485678911209106
Disgust,Happy,0.3545965850353241
Happy,Sad,0.3540450930595398
Neutral,Happy,0.3519294857978821
Happy,Neutral,0.35192689299583435
Sad,Disgust,0.35166841745376587
Anger,Happy,0.3507591784000397
Neutral,Sad,0.34941762685775757
Happy,Sad,0.34896719455718994
Happy,Surprise,0.3484135568141937
Neutral,Surprise,0.345721572637558
Happy,Neutral,0.345421701669693
Happy,Disgust,0.3438839018344879
Sad,Fear,0.34149685502052307
Happy,Neutral,0.34072956442832947
Happy,Sad,0.3404702842235565
Happy,Fear,0.3390031158924103
Neutral,Disgust,0.3379829525947571
Happy,Sad,0.33632734417915344
Neutral,Surprise,0.33381620049476624
Sad,Neutral,0.3334868252277374
Happy,Fear,0.33325687050819397
Happy,Fear,0.33203259110450745
Happy,Neutral,0.3308761417865753
Happy,Surprise,0.3306702971458435
Happy,Neutral,0.33061081171035767
Happy,Sad,0.3291622996330261
Sad,Neutral,0.3291499614715576
Happy,Disgust,0.32816872000694275
Happy,Disgust,0.326977014541626
Disgust,Surprise,0.32619211077690125
Anger,Sad,0.325702965259552
Happy,Neutral,0.3205350935459137
Happy,Neutral,0.3188477158546448
Sad,Neutral,0.318617582321167
Anger,Fear,0.3184505105018616
Happy,Disgust,0.3164272904396057
Neutral,Happy,0.3161754012107849
Happy,Neutral,0.3157123923301697
Neutral,Sad,0.31443047523498535
Neutral,Sad,0.3142593204975128
Neutral,Anger,0.3134336471557617
Neutral,Sad,0.31288132071495056
Happy,Anger,0.31174519658088684
Happy,Neutral,0.3075147569179535
Happy,Neutral,0.3074270784854889
Happy,Surprise,0.3065083920955658
Happy,Neutral,0.306047648191452
Disgust,Surprise,0.3056280314922333
Happy,Sad,0.3035764992237091
Happy,Sad,0.3018301725387573
Sad,Fear,0.2969876825809479
Anger,Happy,0.2948480546474457
Happy,Surprise,0.29288074374198914
Neutral,Happy,0.2925838828086853
Happy,Surprise,0.28719446063041687
Happy,Neutral,0.2871858477592468
Happy,Sad,0.28673040866851807
Surprise,Fear,0.28288528323173523
Anger,Fear,0.28249943256378174
Neutral,Disgust,0.27843111753463745
Anger,Surprise,0.26842910051345825
Anger,Fear,0.2676314413547516
Disgust,Fear,0.26434803009033203
Neutral,Happy,0.2619147002696991
Neutral,Surprise,0.2584352493286133
Sad,Happy,0.25664108991622925
Surprise,Neutral,0.2566318213939667
Anger,Neutral,0.2553870975971222
Happy,Fear,0.2546748220920563
Happy,Neutral,0.2540527880191803
Happy,Fear,0.25250184535980225
Happy,Sad,0.25146639347076416
Fear,Anger,0.24972498416900635
Happy,Disgust,0.2484704852104187
Happy,Fear,0.24087116122245789
Happy,Surprise,0.2377341091632843
Neutral,Sad,0.23470325767993927
Anger,Happy,0.234485924243927
Neutral,Sad,0.229397252202034
Neutral,Sad,0.21938742697238922
Neutral,Happy,0.21807119250297546
Happy,Surprise,0.19779174029827118
